file,mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,mu11,mu12,id
charlie-01.wav,91.20,182.05,233.48,47.20,-103.01,63.93,-47.34,-65.19,-37.94,-72.26,43.72,63.99,43.00,CHARLIE
charlie-02.wav,208.43,125.35,140.75,-10.15,-109.78,43.55,-122.40,-90.05,-10.48,-31.56,78.84,58.16,80.67,CHARLIE
charlie-03.wav,158.69,86.05,151.00,-87.58,-135.45,55.49,-100.10,-97.24,-24.45,-33.37,54.83,35.46,78.20,CHARLIE
charlie-04.wav,29.73,106.00,120.10,-19.51,-109.91,109.49,-101.24,-91.71,8.56,-3.40,71.43,25.56,68.48,CHARLIE
charlie-05.wav,84.83,67.27,217.85,25.80,-106.34,80.51,-104.87,-76.82,1.66,-80.19,36.32,23.89,48.56,CHARLIE
charlie-06.wav,147.85,170.69,238.06,78.11,-55.16,62.75,-113.93,-46.66,15.12,-53.25,62.48,32.00,49.39,CHARLIE
charlie-07.wav,212.36,162.22,358.07,31.31,-89.77,50.09,-112.77,-58.45,-1.31,-23.66,111.80,23.95,82.11,CHARLIE
charlie-08.wav,38.38,130.25,172.65,-93.31,-123.06,-23.45,-158.60,-97.94,-5.93,-44.46,72.43,21.08,90.29,CHARLIE
charlie-09.wav,-1.70,84.67,187.24,-57.36,-141.19,-20.38,-164.35,-110.11,-57.53,-47.46,94.45,-9.28,76.43,CHARLIE
charlie-10.wav,72.20,132.58,235.27,-8.21,-110.09,-8.83,-165.42,-127.20,-22.90,-62.89,42.22,2.16,70.06,CHARLIE
charlie-11.wav,54.49,157.34,199.76,-41.78,-76.39,46.50,-138.24,-118.33,-28.59,-32.38,84.68,5.79,68.84,CHARLIE
charlie-12.wav,212.79,91.93,128.54,-120.53,-160.59,51.08,-113.64,-110.00,-0.98,-29.75,100.40,-12.54,81.55,CHARLIE
charlie-13.wav,146.37,90.82,161.13,-53.30,-98.59,44.02,-136.94,-86.58,0.33,-18.54,91.37,27.11,59.46,CHARLIE
charlie-14.wav,139.32,130.62,184.34,-17.71,-129.45,-6.81,-140.13,-124.06,-47.41,-26.89,79.39,53.95,63.15,CHARLIE
charlie-15.wav,4.83,79.29,155.38,-81.68,-115.81,53.93,-121.14,-87.82,-31.34,-45.60,84.88,3.48,101.71,CHARLIE
charlie-16.wav,-24.57,135.82,197.06,-13.03,-68.67,-31.00,-137.12,-27.96,-0.62,-34.01,51.19,34.75,123.86,CHARLIE
charlie-17.wav,70.95,58.95,179.14,-61.50,-130.30,-16.78,-133.37,-76.76,-53.16,-59.04,74.59,7.32,100.25,CHARLIE
charlie-18.wav,-93.98,152.95,209.59,8.08,-129.60,-38.44,-153.80,-90.20,-20.90,-36.51,74.95,19.72,103.27,CHARLIE
charlie-19.wav,66.81,137.95,164.79,29.25,-100.17,-13.48,-166.24,-106.32,-19.29,-48.69,59.41,33.14,63.08,CHARLIE
charlie-20.wav,215.59,98.14,209.05,-9.64,-117.16,12.51,-147.74,-96.96,0.24,-25.97,69.78,73.49,82.37,CHARLIE
michael-01.wav,59.15,-120.31,-20.35,-167.88,-72.19,-12.26,-86.98,-22.52,-70.41,-19.48,-22.99,-81.99,11.75,MICHAEL
michael-02.wav,-52.70,-105.59,97.41,-150.02,-128.25,-50.64,-115.43,-35.64,-40.57,-46.19,-32.66,-90.58,7.73,MICHAEL
michael-03.wav,186.18,-139.04,28.99,-198.67,-161.82,-2.81,-136.24,-61.84,-52.84,-65.88,-15.80,-89.32,-4.56,MICHAEL
michael-04.wav,120.42,-119.37,59.74,-229.84,-105.23,54.51,-100.37,-14.95,-47.65,-55.50,-53.25,-66.98,-6.19,MICHAEL
michael-05.wav,150.73,-244.75,79.19,-153.06,-165.40,12.75,-139.11,-15.26,-43.02,-84.03,-19.72,-120.37,-8.69,MICHAEL
michael-06.wav,73.43,-128.56,59.44,-156.11,-139.33,-13.29,-126.94,-48.15,-47.79,-48.25,-26.32,-85.88,9.99,MICHAEL
michael-07.wav,82.10,-187.84,91.68,-182.74,-167.58,-23.85,-143.30,1.22,-67.00,-78.09,-28.96,-124.73,3.69,MICHAEL
michael-08.wav,61.01,-110.60,15.29,-186.45,-145.52,-5.65,-116.94,-49.31,-42.33,-51.52,-31.24,-70.20,0.92,MICHAEL
michael-09.wav,96.78,-158.42,-8.04,-194.35,-121.72,38.42,-117.95,-6.35,-23.22,-47.08,-21.33,-79.81,3.61,MICHAEL
michael-10.wav,-11.02,-73.79,108.90,-108.57,-157.33,-33.59,-100.03,-42.88,-57.10,-69.01,-20.11,-88.77,-1.36,MICHAEL
michael-11.wav,187.99,-166.05,41.29,-198.31,-169.11,-24.86,-165.57,-56.34,-63.68,-61.18,-28.42,-120.34,-13.69,MICHAEL
michael-12.wav,107.71,-155.76,23.08,-130.92,-142.11,5.77,-89.89,-9.13,-45.08,-65.48,-59.41,-64.66,-7.69,MICHAEL
michael-13.wav,39.06,-143.81,98.23,-110.45,-148.31,-22.54,-107.24,-19.91,-47.12,-68.82,-13.99,-90.07,29.75,MICHAEL
michael-14.wav,-39.08,-24.82,118.77,-79.75,-133.70,-15.57,-88.60,-25.73,-63.43,-62.92,-14.75,-72.43,4.78,MICHAEL
michael-15.wav,183.25,-177.36,68.43,-142.89,-168.51,-24.56,-133.67,-36.96,-57.97,-66.96,-46.02,-84.20,-6.80,MICHAEL
michael-16.wav,2.08,-69.94,69.20,-122.10,-94.46,27.97,-88.11,-25.66,-46.59,-44.77,-25.29,-66.75,6.37,MICHAEL
michael-17.wav,63.59,-79.38,77.16,-150.97,-128.28,49.93,-83.70,-3.09,-35.85,-46.42,-26.53,-59.56,9.66,MICHAEL
michael-18.wav,125.65,-131.52,68.42,-174.88,-139.89,25.97,-114.70,-1.18,-46.27,-44.04,-23.22,-66.68,4.17,MICHAEL
michael-19.wav,-61.02,-49.37,33.86,-135.19,-92.83,17.66,-76.92,-20.72,-32.33,-58.32,-26.91,-64.69,11.52,MICHAEL
michael-20.wav,-28.44,-94.92,54.20,-136.68,-116.62,-0.68,-90.78,-19.13,-29.20,-53.35,-15.41,-71.77,13.89,MICHAEL
